ID,Branch,City,Customer type,Productline,Unit_Price,Sales price,Quantity,TAX 5%,Total,Date,Time,Payment,cogs,Profit,Net of Tax profit,Gross Profit %,gross margin percentage,perc,Country,Hours,Age,Rating
173-82-9529,B,Mandalay,Normal,Fashion accessories,20.1135,37.95,10,18.975,398.475,D,14:51,Cash,201.135,178.365,159.39,89%,1.98,50.00%,United Kingdom,noun,55,10
563-36-9814,A,Yangon,Member,Electronic accessories,57.615,76.82,1,3.841,80.661,D,18:27,Ewallet,57.615,19.205,15.364,33%,1.40,45.00%,United Kingdom,noun,17,7
308-47-4913,A,Yangon,Member,Food and beverages,47.5566,52.26,10,26.13,548.73,D,12:45,Credit card,475.566,47.034,20.904,10%,1.15,22.00%,United Kingdom,noun,15,6
885-17-6250,A,Yangon,Normal,Health and beauty,43.0596,79.74,1,3.987,83.727,D,10:36,Ewallet,43.0596,36.6804,32.6934,85%,1.94,35.00%,United Kingdom,noun,43,7
726-27-2396,A,Yangon,Normal,Health and beauty,59.675,77.5,5,19.375,406.875,D,20:36,Ewallet,298.375,89.125,69.75,30%,1.36,45.00%,United Kingdom,noun,64,4
316-01-3952,A,Yangon,Normal,Food and beverages,56.9835,54.27,5,13.5675,284.9175,D,14:16,Ewallet,284.9175,-13.5675,-27.135,-5%,1.00,10.00%,United Kingdom,noun,45,5
760-54-1821,B,Mandalay,Normal,Home and lifestyle,11.2797,13.59,9,6.1155,128.4255,D,10:26,Cash,101.5173,20.7927,14.6772,20%,1.27,12.00%,United Kingdom,noun,21,6
793-10-3222,B,Mandalay,Member,Health and beauty,25.0466,41.06,6,12.318,258.678,D,13:30,Credit card,150.2796,96.0804,83.7624,64%,1.72,-5.00%,United Kingdom,noun,53,8
346-12-3257,B,Mandalay,Member,Electronic accessories,12.6984,19.24,9,8.658,181.818,D,16:28,Cash,114.2856,58.8744,50.2164,52%,1.59,30.00%,United Kingdom,noun,19,8
110-05-6330,C,Naypyitaw,Normal,Food and beverages,36.6699,39.43,6,11.829,248.409,D,20:18,Credit card,220.0194,16.5606,4.7316,8%,1.13,26.00%,United Kingdom,noun,32,9
651-61-0874,C,Naypyitaw,Normal,Home and lifestyle,32.8162,46.22,4,9.244,194.124,D,20:04,Credit card,131.2648,53.6152,44.3712,41%,1.48,-2.00%,United Kingdom,noun,16,6
236-86-3015,C,Naypyitaw,Member,Home and lifestyle,11.883,13.98,1,0.699,14.679,D,13:38,Ewallet,11.883,2.097,1.398,18%,1.24,43.00%,United Kingdom,noun,16,10
831-64-0259,B,Mandalay,Normal,Fashion accessories,22.6575,39.75,5,9.9375,208.6875,D,10:43,Ewallet,113.2875,85.4625,75.525,75%,1.84,46.00%,United Kingdom,noun,32,10
587-03-7455,C,Naypyitaw,Member,Fashion accessories,54.7624,97.79,7,34.2265,718.7565,D,17:30,Ewallet,383.3368,301.1932,266.9667,79%,1.88,49.00%,United Kingdom,noun,72,5
882-40-4577,A,Yangon,Member,Food and beverages,61.2066,67.26,4,13.452,282.492,D,15:28,Credit card,244.8264,24.2136,10.7616,10%,1.15,36.00%,United Kingdom,noun,44,8
732-67-5346,A,Yangon,Normal,Food and beverages,13.79,13.79,5,3.4475,72.3975,D,19:07,Credit card,68.95,0,-3.4475,0%,1.05,22.00%,United Kingdom,noun,28,8
725-32-9708,B,Mandalay,Member,Fashion accessories,39.8518,68.71,4,13.742,288.582,D,19:01,Cash,159.4072,115.4328,101.6908,72%,1.81,7.00%,United Kingdom,noun,57,4
256-08-8343,A,Yangon,Normal,Home and lifestyle,53.7035,56.53,4,11.306,237.426,D,19:48,Ewallet,214.814,11.306,0,5%,1.11,4.00%,United Kingdom,noun,16,6
372-26-1506,C,Naypyitaw,Normal,Fashion accessories,11.91,23.82,5,5.955,125.055,D,19:24,Ewallet,59.55,59.55,53.595,100%,2.10,41.00%,United Kingdom,noun,39,5
244-08-0162,B,Mandalay,Normal,Health and beauty,16.4208,34.21,10,17.105,359.205,D,13:00,Cash,164.208,177.892,160.787,108%,2.19,21.00%,United Kingdom,noun,19,5
569-71-4390,B,Mandalay,Normal,Food and beverages,19.9017,21.87,2,2.187,45.927,D,14:29,Ewallet,39.8034,3.9366,1.7496,10%,1.15,36.00%,United Kingdom,noun,20,7
132-23-6451,A,Yangon,Member,Health and beauty,13.0014,20.97,5,5.2425,110.0925,D,13:21,Cash,65.007,39.843,34.6005,61%,1.69,4.00%,United Kingdom,noun,22,8
696-90-2548,A,Yangon,Normal,Food and beverages,23.5144,25.84,3,3.876,81.396,D,18:55,Ewallet,70.5432,6.9768,3.1008,10%,1.15,26.00%,United Kingdom,noun,34,7
472-15-9636,A,Yangon,Normal,Home and lifestyle,38.1975,50.93,8,20.372,427.812,D,19:36,Ewallet,305.58,101.86,81.488,33%,1.40,17.00%,United Kingdom,noun,46,9
268-03-6164,B,Mandalay,Normal,Health and beauty,45.1717,96.11,1,4.8055,100.9155,D,16:28,Ewallet,45.1717,50.9383,46.1328,113%,2.23,39.00%,United Kingdom,noun,25,8
750-57-9686,C,Naypyitaw,Normal,Home and lifestyle,44.0186,45.38,4,9.076,190.596,D,13:48,Credit card,176.0744,5.4456,-3.6304,3%,1.08,44.00%,United Kingdom,noun,44,9
186-09-3669,C,Naypyitaw,Member,Health and beauty,47.2758,81.51,1,4.0755,85.5855,D,10:57,Ewallet,47.2758,34.2342,30.1587,72%,1.81,34.00%,United Kingdom,noun,32,9
848-07-1692,B,Mandalay,Normal,Health and beauty,42.3428,57.22,2,5.722,120.162,D,17:13,Ewallet,84.6856,29.7544,24.0324,35%,1.42,18.00%,United Kingdom,noun,28,8
745-71-3520,A,Yangon,Member,Electronic accessories,16.8974,25.22,7,8.827,185.367,D,10:23,Cash,118.2818,58.2582,49.4312,49%,1.57,21.00%,United Kingdom,noun,44,8
266-76-6436,C,Naypyitaw,Member,Food and beverages,39.372,38.6,3,5.79,121.59,D,13:57,Ewallet,118.116,-2.316,-8.106,-2%,1.03,20.00%,United Kingdom,noun,54,8
740-22-2500,C,Naypyitaw,Normal,Electronic accessories,62.197,84.05,3,12.6075,264.7575,D,13:29,Cash,186.591,65.559,52.9515,35%,1.42,-2.00%,United Kingdom,noun,43,10
271-88-8734,C,Naypyitaw,Member,Fashion accessories,49.5771,97.21,10,48.605,1020.705,D,13:00,Credit card,495.771,476.329,427.724,96%,2.06,20.00%,United Kingdom,noun,23,9
301-81-8610,B,Mandalay,Member,Fashion accessories,14.9978,25.42,8,10.168,213.528,D,19:42,Credit card,119.9824,83.3776,73.2096,69%,1.78,-1.00%,United Kingdom,noun,27,7
489-64-4354,C,Naypyitaw,Normal,Fashion accessories,9.768,16.28,1,0.814,17.094,D,15:36,Cash,9.768,6.512,5.698,67%,1.75,37.00%,United Kingdom,noun,43,5
198-84-7132,B,Mandalay,Member,Fashion accessories,20.305,40.61,9,18.2745,383.7645,D,13:40,Cash,182.745,182.745,164.4705,100%,2.10,42.00%,United Kingdom,noun,34,7
269-10-8440,A,Yangon,Member,Health and beauty,39.8775,53.17,7,18.6095,390.7995,D,18:01,Cash,279.1425,93.0475,74.438,33%,1.40,49.00%,United Kingdom,noun,22,9
650-98-6268,B,Mandalay,Member,Food and beverages,21.9135,20.87,3,3.1305,65.7405,D,13:53,Credit card,65.7405,-3.1305,-6.261,-5%,1.00,19.00%,United Kingdom,noun,54,8
741-73-3559,B,Mandalay,Normal,Food and beverages,61.2157,67.27,5,16.8175,353.1675,D,17:27,Cash,306.0785,30.2715,13.454,10%,1.15,0.00%,United Kingdom,noun,41,7
325-77-6186,A,Yangon,Member,Home and lifestyle,77.0525,90.65,10,45.325,951.825,D,10:53,Ewallet,770.525,135.975,90.65,18%,1.24,41.00%,United Kingdom,noun,44,7
286-75-7818,B,Mandalay,Normal,Fashion accessories,34.54,69.08,2,6.908,145.068,D,19:48,Credit card,69.08,69.08,62.172,100%,2.10,22.00%,United Kingdom,noun,18,7
574-57-9721,C,Naypyitaw,Normal,Food and beverages,45.0008,43.27,2,4.327,90.867,D,16:53,Ewallet,90.0016,-3.4616,-7.7886,-4%,1.01,29.00%,United Kingdom,noun,28,6
459-50-7686,A,Yangon,Normal,Electronic accessories,15.7182,23.46,6,7.038,147.798,D,19:14,Ewallet,94.3092,46.4508,39.4128,49%,1.57,12.00%,United Kingdom,noun,36,6
616-87-0016,B,Mandalay,Normal,Fashion accessories,54.4578,95.54,7,33.439,702.219,D,14:36,Credit card,381.2046,287.5754,254.1364,75%,1.84,8.00%,United Kingdom,noun,29,10
837-55-7229,B,Mandalay,Normal,Fashion accessories,24.6688,47.44,1,2.372,49.812,D,18:19,Credit card,24.6688,22.7712,20.3992,92%,2.02,47.00%,United Kingdom,noun,16,7
751-69-0068,C,Naypyitaw,Normal,Food and beverages,90.3084,99.24,9,44.658,937.818,D,19:09,Ewallet,812.7756,80.3844,35.7264,10%,1.15,37.00%,United Kingdom,noun,39,9
257-73-1380,C,Naypyitaw,Member,Food and beverages,75.4663,82.93,4,16.586,348.306,D,16:51,Ewallet,301.8652,29.8548,13.2688,10%,1.15,48.00%,United Kingdom,noun,44,10
345-08-4992,A,Yangon,Normal,Home and lifestyle,30.2511,33.99,6,10.197,214.137,D,15:37,Credit card,181.5066,22.4334,12.2364,12%,1.18,32.00%,United Kingdom,noun,50,8
549-96-4200,C,Naypyitaw,Member,Food and beverages,15.1656,17.04,4,3.408,71.568,D,20:15,Ewallet,60.6624,7.4976,4.0896,12%,1.18,1.00%,United Kingdom,noun,43,7
810-60-6344,C,Naypyitaw,Normal,Electronic accessories,29.0106,40.86,8,16.344,343.224,D,14:38,Credit card,232.0848,94.7952,78.4512,41%,1.48,8.00%,United Kingdom,noun,40,7
450-28-2866,C,Naypyitaw,Member,Food and beverages,17.6144,17.44,5,4.36,91.56,D,19:25,Cash,88.072,-0.872,-5.232,-1%,1.04,1.00%,United Kingdom,noun,27,8
394-30-3170,B,Mandalay,Member,Food and beverages,80.4713,88.43,8,35.372,742.812,D,19:35,Credit card,643.7704,63.6696,28.2976,10%,1.15,33.00%,United Kingdom,noun,85,4
138-17-5109,A,Yangon,Member,Home and lifestyle,71.368,89.21,9,40.1445,843.0345,D,15:42,Credit card,642.312,160.578,120.4335,25%,1.31,50.00%,United Kingdom,noun,34,7
192-98-7397,C,Naypyitaw,Normal,Fashion accessories,7.2846,12.78,1,0.639,13.419,D,14:11,Ewallet,7.2846,5.4954,4.8564,75%,1.84,41.00%,United Kingdom,noun,18,10
301-11-9629,A,Yangon,Normal,Food and beverages,17.381,19.1,7,6.685,140.385,D,10:43,Cash,121.667,12.033,5.348,10%,1.15,11.00%,United Kingdom,noun,51,10
390-80-5128,B,Mandalay,Member,Health and beauty,14.3625,19.15,1,0.9575,20.1075,D,17:58,Credit card,14.3625,4.7875,3.83,33%,1.40,32.00%,United Kingdom,noun,16,10
235-46-8343,C,Naypyitaw,Member,Food and beverages,26.8302,27.66,10,13.83,290.43,D,11:26,Credit card,268.302,8.298,-5.532,3%,1.08,34.00%,United Kingdom,noun,37,9
453-12-7053,C,Naypyitaw,Normal,Fashion accessories,26.5292,45.74,3,6.861,144.081,D,17:38,Credit card,79.5876,57.6324,50.7714,72%,1.81,-3.00%,United Kingdom,noun,40,7
296-11-7041,B,Mandalay,Member,Health and beauty,20.5732,27.07,1,1.3535,28.4235,D,20:07,Credit card,20.5732,6.4968,5.1433,32%,1.38,44.00%,United Kingdom,noun,23,5
449-27-2918,B,Mandalay,Member,Food and beverages,35.5992,39.12,1,1.956,41.076,D,11:02,Credit card,35.5992,3.5208,1.5648,10%,1.15,29.00%,United Kingdom,noun,51,10
891-01-7034,B,Mandalay,Normal,Electronic accessories,58.2738,74.71,6,22.413,470.673,D,19:07,Cash,349.6428,98.6172,76.2042,28%,1.35,7.00%,United Kingdom,noun,53,7
744-09-5786,B,Mandalay,Normal,Electronic accessories,14.3065,22.01,6,6.603,138.663,D,18:50,Cash,85.839,46.221,39.618,54%,1.62,-5.00%,United Kingdom,noun,38,8
727-17-0390,A,Yangon,Normal,Food and beverages,54.0685,63.61,5,15.9025,333.9525,D,12:43,Ewallet,270.3425,47.7075,31.805,18%,1.24,0.00%,United Kingdom,noun,85,5
568-88-3448,A,Yangon,Normal,Health and beauty,14.5,25,1,1.25,26.25,D,15:09,Ewallet,14.5,10.5,9.25,72%,1.81,41.00%,United Kingdom,noun,37,6
187-83-5490,A,Yangon,Member,Electronic accessories,16.8237,20.77,4,4.154,87.234,D,13:47,Cash,67.2948,15.7852,11.6312,23%,1.30,38.00%,United Kingdom,noun,40,5
767-54-1907,B,Mandalay,Member,Fashion accessories,15.3712,29.56,5,7.39,155.19,D,16:59,Cash,76.856,70.944,63.554,92%,2.02,12.00%,United Kingdom,noun,50,7
710-46-4433,B,Mandalay,Member,Food and beverages,72.756,77.4,9,34.83,731.43,D,14:15,Credit card,654.804,41.796,6.966,6%,1.12,1.00%,United Kingdom,noun,87,5
533-33-5337,B,Mandalay,Normal,Electronic accessories,57.1608,79.39,10,39.695,833.595,D,20:24,Cash,571.608,222.292,182.597,39%,1.46,0.00%,United Kingdom,noun,19,6
325-90-8763,C,Naypyitaw,Member,Electronic accessories,32.599,46.57,10,23.285,488.985,D,13:58,Cash,325.99,139.71,116.425,43%,1.50,4.00%,United Kingdom,noun,17,8
729-46-7422,C,Naypyitaw,Normal,Food and beverages,31.2243,35.89,1,1.7945,37.6845,D,16:52,Credit card,31.2243,4.6657,2.8712,15%,1.21,16.00%,United Kingdom,noun,45,8
639-76-1242,C,Naypyitaw,Normal,Food and beverages,34.8472,40.52,5,10.13,212.73,D,15:19,Cash,174.236,28.364,18.234,16%,1.22,25.00%,United Kingdom,noun,72,5
234-03-4040,B,Mandalay,Member,Food and beverages,67.206,73.05,10,36.525,767.025,D,12:25,Credit card,672.06,58.44,21.915,9%,1.14,8.00%,United Kingdom,noun,46,9
326-71-2155,C,Naypyitaw,Normal,Food and beverages,67.2945,73.95,4,14.79,310.59,D,10:02,Cash,269.178,26.622,11.832,10%,1.15,2.00%,United Kingdom,noun,21,6
320-32-8842,C,Naypyitaw,Member,Food and beverages,23.0724,22.62,1,1.131,23.751,D,18:58,Cash,23.0724,-0.4524,-1.5834,-2%,1.03,48.00%,United Kingdom,noun,39,6
470-32-9057,A,Yangon,Member,Food and beverages,52.3668,51.34,5,12.835,269.535,D,15:31,Credit card,261.834,-5.134,-17.969,-2%,1.03,47.00%,United Kingdom,noun,22,9
878-30-2331,C,Naypyitaw,Member,Food and beverages,49.6405,54.55,10,27.275,572.775,D,11:22,Credit card,496.405,49.095,21.82,10%,1.15,43.00%,United Kingdom,noun,38,7
440-59-5691,C,Naypyitaw,Member,Health and beauty,16.7175,37.15,7,13.0025,273.0525,D,13:12,Credit card,117.0225,143.0275,130.025,122%,2.33,6.00%,United Kingdom,noun,29,8
554-53-3790,B,Mandalay,Normal,Food and beverages,33.6882,37.02,6,11.106,233.226,D,18:33,Cash,202.1292,19.9908,8.8848,10%,1.15,20.00%,United Kingdom,noun,50,5
746-19-0921,C,Naypyitaw,Normal,Food and beverages,21.7958,21.58,1,1.079,22.659,D,10:02,Ewallet,21.7958,-0.2158,-1.2948,-1%,1.04,45.00%,United Kingdom,noun,33,7
233-34-0817,C,Naypyitaw,Member,Electronic accessories,77.0952,98.84,1,4.942,103.782,D,11:21,Cash,77.0952,21.7448,16.8028,28%,1.35,22.00%,United Kingdom,noun,30,8
767-05-1286,C,Naypyitaw,Member,Home and lifestyle,70.3668,83.77,6,25.131,527.751,D,12:10,Ewallet,422.2008,80.4192,55.2882,19%,1.25,16.00%,United Kingdom,noun,44,5
340-21-9136,A,Yangon,Member,Food and beverages,36.4455,40.05,4,8.01,168.21,D,11:40,Cash,145.782,14.418,6.408,10%,1.15,26.00%,United Kingdom,noun,49,10
405-31-3305,A,Yangon,Member,Fashion accessories,24.5841,43.13,10,21.565,452.865,D,18:31,Credit card,245.841,185.459,163.894,75%,1.84,21.00%,United Kingdom,noun,51,6
731-59-7531,B,Mandalay,Member,Health and beauty,47.8962,72.57,8,29.028,609.588,D,17:58,Cash,383.1696,197.3904,168.3624,52%,1.59,17.00%,United Kingdom,noun,75,5
676-39-6028,A,Yangon,Member,Electronic accessories,55.4184,64.44,5,16.11,338.31,D,17:04,Cash,277.092,45.108,28.998,16%,1.22,30.00%,United Kingdom,noun,55,7
502-05-1910,A,Yangon,Normal,Health and beauty,42.367,65.18,3,9.777,205.317,D,20:35,Credit card,127.101,68.439,58.662,54%,1.62,15.00%,United Kingdom,noun,26,6
485-30-8700,A,Yangon,Normal,Food and beverages,30.2666,33.26,5,8.315,174.615,D,16:10,Credit card,151.333,14.967,6.652,10%,1.15,46.00%,United Kingdom,noun,43,4
598-47-9715,C,Naypyitaw,Normal,Electronic accessories,69.7781,84.07,4,16.814,353.094,D,16:54,Ewallet,279.1124,57.1676,40.3536,20%,1.27,10.00%,United Kingdom,noun,56,4
701-69-8742,B,Mandalay,Normal,Food and beverages,31.2767,34.37,10,17.185,360.885,D,10:11,Ewallet,312.767,30.933,13.748,10%,1.15,17.00%,United Kingdom,noun,24,7
575-67-1508,A,Yangon,Normal,Electronic accessories,28.178,38.6,1,1.93,40.53,D,11:26,Ewallet,28.178,10.422,8.492,37%,1.44,9.00%,United Kingdom,noun,39,7
541-08-3113,C,Naypyitaw,Normal,Food and beverages,67.2894,65.97,8,26.388,554.148,D,20:29,Cash,538.3152,-10.5552,-36.9432,-2%,1.03,40.00%,United Kingdom,noun,46,8
246-11-3901,C,Naypyitaw,Normal,Electronic accessories,28.208,32.8,10,16.4,344.4,D,12:12,Cash,282.08,45.92,29.52,16%,1.22,22.00%,United Kingdom,noun,27,6
674-15-9296,A,Yangon,Normal,Food and beverages,33.7974,37.14,5,9.285,194.985,D,13:05,Ewallet,168.987,16.713,7.428,10%,1.15,0.00%,United Kingdom,noun,81,5
305-18-3552,B,Mandalay,Member,Home and lifestyle,52.5306,60.38,10,30.19,633.99,D,16:19,Cash,525.306,78.494,48.304,15%,1.21,-4.00%,United Kingdom,noun,15,6
493-65-6248,C,Naypyitaw,Member,Food and beverages,33.6518,36.98,10,18.49,388.29,D,19:48,Credit card,336.518,33.282,14.792,10%,1.15,3.00%,United Kingdom,noun,21,7
438-01-4015,B,Mandalay,Member,Food and beverages,45.0359,49.49,4,9.898,207.858,D,15:25,Ewallet,180.1436,17.8164,7.9184,10%,1.15,35.00%,United Kingdom,noun,55,7
709-58-4068,B,Mandalay,Normal,Fashion accessories,23.0104,41.09,10,20.545,431.445,D,14:42,Cash,230.104,180.796,160.251,79%,1.88,17.00%,United Kingdom,noun,17,7
795-49-7276,A,Yangon,Normal,Fashion accessories,21.9185,37.15,4,7.43,156.03,D,18:59,Ewallet,87.674,60.926,53.496,69%,1.78,1.00%,United Kingdom,noun,37,8
556-72-8512,C,Naypyitaw,Normal,Home and lifestyle,21.1232,22.96,1,1.148,24.108,D,20:47,Cash,21.1232,1.8368,0.6888,9%,1.14,5.00%,United Kingdom,noun,83,4
627-95-3243,B,Mandalay,Member,Home and lifestyle,56.7064,77.68,9,34.956,734.076,D,13:21,Ewallet,510.3576,188.7624,153.8064,37%,1.44,-3.00%,United Kingdom,noun,52,10
686-41-0932,B,Mandalay,Normal,Fashion accessories,18.044,34.7,2,3.47,72.87,D,19:48,Ewallet,36.088,33.312,29.842,92%,2.02,14.00%,United Kingdom,noun,39,8
510-09-5628,A,Yangon,Member,Fashion accessories,9.83,19.66,10,9.83,206.43,D,18:20,Credit card,98.3,98.3,88.47,100%,2.10,-3.00%,United Kingdom,noun,22,7
608-04-3797,B,Mandalay,Member,Health and beauty,13.1664,25.32,8,10.128,212.688,D,20:24,Ewallet,105.3312,97.2288,87.1008,92%,2.02,3.00%,United Kingdom,noun,39,9
148-82-2527,C,Naypyitaw,Member,Home and lifestyle,8.484,12.12,10,6.06,127.26,D,13:44,Credit card,84.84,36.36,30.3,43%,1.50,0.00%,United Kingdom,noun,27,8
437-53-3084,B,Mandalay,Normal,Fashion accessories,54.9395,99.89,2,9.989,209.769,D,11:48,Ewallet,109.879,89.901,79.912,82%,1.91,26.00%,United Kingdom,noun,40,7
632-32-4574,B,Mandalay,Normal,Food and beverages,69.0872,75.92,8,30.368,637.728,D,14:14,Cash,552.6976,54.6624,24.2944,10%,1.15,28.00%,United Kingdom,noun,17,6
556-97-7101,C,Naypyitaw,Normal,Electronic accessories,44.254,63.22,2,6.322,132.762,D,15:51,Cash,88.508,37.932,31.61,43%,1.50,46.00%,United Kingdom,noun,32,9
862-59-8517,C,Naypyitaw,Normal,Food and beverages,81.216,90.24,6,27.072,568.512,D,11:17,Cash,487.296,54.144,27.072,11%,1.17,16.00%,United Kingdom,noun,34,6
401-18-8016,B,Mandalay,Member,Food and beverages,89.2983,98.13,1,4.9065,103.0365,D,17:36,Cash,89.2983,8.8317,3.9252,10%,1.15,15.00%,United Kingdom,noun,39,9
420-18-8989,A,Yangon,Member,Food and beverages,46.8832,51.52,8,20.608,432.768,D,15:47,Cash,375.0656,37.0944,16.4864,10%,1.15,12.00%,United Kingdom,noun,28,10
277-63-2961,B,Mandalay,Member,Food and beverages,67.3127,73.97,1,3.6985,77.6685,D,15:53,Credit card,67.3127,6.6573,2.9588,10%,1.15,38.00%,United Kingdom,noun,29,5
573-98-8548,C,Naypyitaw,Member,Fashion accessories,16.588,31.9,1,1.595,33.495,D,12:40,Ewallet,16.588,15.312,13.717,92%,2.02,8.00%,United Kingdom,noun,22,9
620-02-2046,C,Naypyitaw,Normal,Home and lifestyle,64.542,69.4,2,6.94,145.74,D,19:48,Ewallet,129.084,9.716,2.776,8%,1.13,48.00%,United Kingdom,noun,40,9
282-35-2475,B,Mandalay,Normal,Food and beverages,84.9121,93.31,2,9.331,195.951,D,17:53,Cash,169.8242,16.7958,7.4648,10%,1.15,2.00%,United Kingdom,noun,19,6
511-54-3087,B,Mandalay,Normal,Food and beverages,80.4895,88.45,1,4.4225,92.8725,D,16:36,Credit card,80.4895,7.9605,3.538,10%,1.15,30.00%,United Kingdom,noun,32,10
726-29-6793,A,Yangon,Member,Electronic accessories,16.4424,24.18,8,9.672,203.112,D,20:54,Ewallet,131.5392,61.9008,52.2288,47%,1.54,11.00%,United Kingdom,noun,36,10
387-49-4215,B,Mandalay,Member,Food and beverages,44.135,48.5,3,7.275,152.775,D,12:50,Cash,132.405,13.095,5.82,10%,1.15,33.00%,United Kingdom,noun,32,7
862-17-9201,B,Mandalay,Normal,Food and beverages,86.5715,84.05,6,25.215,529.515,D,10:48,Credit card,519.429,-15.129,-40.344,-3%,1.02,24.00%,United Kingdom,noun,22,8
291-21-5991,B,Mandalay,Member,Health and beauty,43.5159,61.29,5,15.3225,321.7725,D,14:28,Cash,217.5795,88.8705,73.548,41%,1.48,8.00%,United Kingdom,noun,18,7
602-80-9671,C,Naypyitaw,Member,Home and lifestyle,13.8765,15.95,6,4.785,100.485,D,17:15,Credit card,83.259,12.441,7.656,15%,1.21,27.00%,United Kingdom,noun,52,5
347-72-6115,B,Mandalay,Member,Food and beverages,82.5734,90.74,7,31.759,666.939,D,18:03,Credit card,578.0138,57.1662,25.4072,10%,1.15,5.00%,United Kingdom,noun,50,6
209-61-0206,A,Yangon,Normal,Home and lifestyle,34.328,42.91,5,10.7275,225.2775,D,17:29,Ewallet,171.64,42.91,32.1825,25%,1.31,38.00%,United Kingdom,noun,50,6
595-27-4851,A,Yangon,Normal,Fashion accessories,27.6828,54.28,7,18.998,398.958,D,18:05,Ewallet,193.7796,186.1804,167.1824,96%,2.06,17.00%,United Kingdom,noun,50,9
189-52-0236,A,Yangon,Normal,Electronic accessories,79.64,99.55,7,34.8425,731.6925,D,12:07,Cash,557.48,139.37,104.5275,25%,1.31,38.00%,United Kingdom,noun,48,8
503-07-0930,C,Naypyitaw,Member,Food and beverages,53.1349,58.39,7,20.4365,429.1665,D,19:49,Credit card,371.9443,36.7857,16.3492,10%,1.15,36.00%,United Kingdom,noun,39,8
413-20-6708,C,Naypyitaw,Member,Fashion accessories,27.7938,51.47,1,2.5735,54.0435,D,15:52,Ewallet,27.7938,23.6762,21.1027,85%,1.94,46.00%,United Kingdom,noun,28,9
425-85-2085,B,Mandalay,Member,Health and beauty,36.2076,54.86,5,13.715,288.015,D,16:48,Ewallet,181.038,93.262,79.547,52%,1.59,14.00%,United Kingdom,noun,48,10
521-18-7827,C,Naypyitaw,Member,Home and lifestyle,37.8144,39.39,5,9.8475,206.7975,D,20:46,Credit card,189.072,7.878,-1.9695,4%,1.09,21.00%,United Kingdom,noun,38,9
220-28-1851,A,Yangon,Normal,Home and lifestyle,32.9935,34.73,2,3.473,72.933,D,18:14,Ewallet,65.987,3.473,0,5%,1.11,35.00%,United Kingdom,noun,48,10
600-38-9738,C,Naypyitaw,Member,Food and beverages,65.4472,71.92,5,17.98,377.58,D,15:05,Credit card,327.236,32.364,14.384,10%,1.15,8.00%,United Kingdom,noun,46,4
734-91-1155,B,Mandalay,Normal,Electronic accessories,34.2825,45.71,3,6.8565,143.9865,D,10:34,Credit card,102.8475,34.2825,27.426,33%,1.40,44.00%,United Kingdom,noun,27,8
451-28-5717,C,Naypyitaw,Member,Home and lifestyle,76.5164,83.17,6,24.951,523.971,D,11:23,Cash,459.0984,39.9216,14.9706,9%,1.14,46.00%,United Kingdom,noun,53,7
609-81-8548,A,Yangon,Member,Home and lifestyle,31.4496,37.44,6,11.232,235.872,D,13:55,Credit card,188.6976,35.9424,24.7104,19%,1.25,16.00%,United Kingdom,noun,16,6
133-14-7229,C,Naypyitaw,Normal,Health and beauty,35.2072,62.87,2,6.287,132.027,D,11:43,Cash,70.4144,55.3256,49.0386,79%,1.88,20.00%,United Kingdom,noun,83,5
534-01-4457,A,Yangon,Normal,Food and beverages,76.8074,81.71,6,24.513,514.773,D,14:36,Credit card,460.8444,29.4156,4.9026,6%,1.12,31.00%,United Kingdom,noun,49,8
719-89-8991,A,Yangon,Member,Food and beverages,83.1831,91.41,5,22.8525,479.9025,D,16:03,Ewallet,415.9155,41.1345,18.282,10%,1.15,10.00%,United Kingdom,noun,44,7
286-62-6248,B,Mandalay,Normal,Fashion accessories,23.1339,39.21,4,7.842,164.682,D,20:03,Credit card,92.5356,64.3044,56.4624,69%,1.78,29.00%,United Kingdom,noun,35,9
339-38-9982,B,Mandalay,Member,Fashion accessories,31.7258,59.86,2,5.986,125.706,D,14:55,Ewallet,63.4516,56.2684,50.2824,89%,1.98,31.00%,United Kingdom,noun,33,7
827-44-5872,B,Mandalay,Member,Food and beverages,46.7496,54.36,10,27.18,570.78,D,11:28,Credit card,467.496,76.104,48.924,16%,1.22,27.00%,United Kingdom,noun,38,6
827-77-7633,A,Yangon,Normal,Food and beverages,89.2619,98.09,9,44.1405,926.9505,D,19:41,Cash,803.3571,79.4529,35.3124,10%,1.15,7.00%,United Kingdom,noun,28,9
287-83-1405,A,Yangon,Normal,Health and beauty,17.5467,25.43,6,7.629,160.209,D,19:01,Ewallet,105.2802,47.2998,39.6708,45%,1.52,14.00%,United Kingdom,noun,39,7
435-13-4908,A,Yangon,Member,Fashion accessories,50.2744,86.68,8,34.672,728.112,D,18:04,Credit card,402.1952,291.2448,256.5728,72%,1.81,7.00%,United Kingdom,noun,20,7
857-67-9057,B,Mandalay,Normal,Electronic accessories,16.983,22.95,10,11.475,240.975,D,19:20,Ewallet,169.83,59.67,48.195,35%,1.42,37.00%,United Kingdom,noun,25,8
236-27-1144,C,Naypyitaw,Normal,Food and beverages,15.4945,16.31,9,7.3395,154.1295,D,10:31,Ewallet,139.4505,7.3395,0,5%,1.11,19.00%,United Kingdom,noun,36,8
